TIME_VALUE,Z_LOCATION,DATA_VALUE,QF1,QF3,INTERP,ad_mm
2021-08-27 11:00:00,-35.0,34.07,2,2,True,0.0
2021-08-27 11:00:00,-11.0,33.821666666666665,2,2,True,0.0
2021-08-27 12:00:00,-35.0,34.08166666666667,2,2,True,0.0
2021-08-27 12:00:00,-11.0,33.85916666666667,2,2,True,0.0
2021-08-27 13:00:00,-35.0,34.09583333333334,2,2,True,0.0
2021-08-27 13:00:00,-11.0,33.8975,2,2,True,0.0
2021-08-27 14:00:00,-35.0,34.10583333333334,2,2,True,0.0
2021-08-27 14:00:00,-11.0,33.91,2,2,True,0.0
2021-08-27 15:00:00,-35.0,34.104166666666664,2,2,True,0.0
2021-08-27 15:00:00,-11.0,33.89833333333333,2,2,True,0.0
2021-08-27 16:00:00,-35.0,34.094166666666666,2,2,True,0.0
2021-08-27 16:00:00,-11.0,33.86083333333333,2,2,True,0.0
2021-08-27 17:00:00,-35.0,34.08416666666667,2,2,True,0.0
2021-08-27 17:00:00,-11.0,33.822500000000005,2,2,True,0.0
2021-08-27 18:00:00,-35.0,34.08,2,2,True,0.0
2021-08-27 18:00:00,-11.0,33.792500000000004,2,2,True,0.0
2021-08-27 19:00:00,-35.0,34.08583333333333,2,2,True,0.0
2021-08-27 19:00:00,-11.0,33.774166666666666,2,2,True,0.0
2021-08-27 20:00:00,-35.0,34.09,2,2,True,0.0
2021-08-27 20:00:00,-11.0,33.752500000000005,2,2,True,0.0
2021-08-27 21:00:00,-35.0,34.09583333333334,2,2,True,0.0
2021-08-27 21:00:00,-11.0,33.73416666666667,2,2,True,0.0
2021-08-27 22:00:00,-35.0,34.1175,2,2,True,0.0
2021-08-27 22:00:00,-11.0,33.74166666666667,2,2,True,0.0
2021-08-27 23:00:00,-35.0,34.13,2,2,True,0.0
2021-08-27 23:00:00,-11.0,33.755833333333335,2,2,True,0.0
2021-08-28 00:00:00,-35.0,34.12416666666667,2,2,True,0.0
2021-08-28 00:00:00,-11.0,33.777499999999996,2,2,True,0.0
2021-08-28 01:00:00,-35.0,34.137499999999996,2,2,True,0.0
2021-08-28 01:00:00,-11.0,33.80166666666667,2,2,True,0.0
2021-08-28 02:00:00,-35.0,34.155833333333334,2,2,True,0.0
2021-08-28 02:00:00,-11.0,33.81,2,2,True,0.0
2021-08-28 03:00:00,-35.0,34.16,2,2,True,0.0
2021-08-28 03:00:00,-11.0,33.79833333333333,2,2,True,0.0
2021-08-28 04:00:00,-35.0,34.15416666666666,2,2,True,0.0
2021-08-28 04:00:00,-11.0,33.7725,2,2,True,0.0
2021-08-28 05:00:00,-35.0,34.138333333333335,2,2,True,0.0
2021-08-28 05:00:00,-11.0,33.7425,2,2,True,0.0
2021-08-28 06:00:00,-35.0,34.12416666666667,2,2,True,0.0
2021-08-28 06:00:00,-11.0,33.718333333333334,2,2,True,0.0
2021-08-28 07:00:00,-35.0,34.12583333333333,2,2,True,0.0
2021-08-28 07:00:00,-11.0,33.69833333333333,2,2,True,0.0
2021-08-28 08:00:00,-35.0,34.13,2,2,True,0.0
2021-08-28 08:00:00,-11.0,33.68416666666666,2,2,True,0.0
2021-08-28 09:00:00,-35.0,34.141666666666666,2,2,True,0.0
2021-08-28 09:00:00,-11.0,33.674166666666665,2,2,True,0.0
2021-08-28 10:00:00,-35.0,34.185,2,2,True,0.0
2021-08-28 10:00:00,-11.0,33.67583333333334,2,2,True,0.0
2021-08-28 11:00:00,-35.0,34.2275,2,2,True,0.0
2021-08-28 11:00:00,-11.0,33.685833333333335,2,2,True,0.0
2021-08-28 12:00:00,-35.0,34.23416666666667,2,2,True,0.0
2021-08-28 12:00:00,-11.0,33.70166666666667,2,2,True,0.0
2021-08-28 13:00:00,-35.0,34.23,2,2,True,0.0
2021-08-28 13:00:00,-11.0,33.7275,2,2,True,0.0
2021-08-28 14:00:00,-35.0,34.23,2,2,True,0.0
2021-08-28 14:00:00,-11.0,33.751666666666665,2,2,True,0.0
2021-08-28 15:00:00,-35.0,34.23,2,2,True,0.0
2021-08-28 15:00:00,-11.0,33.75416666666666,2,2,True,0.0
2021-08-28 16:00:00,-35.0,34.23,2,2,True,0.0
2021-08-28 16:00:00,-11.0,33.744166666666665,2,2,True,0.0
2021-08-28 17:00:00,-35.0,34.23,2,2,True,0.0
2021-08-28 17:00:00,-11.0,33.72833333333333,2,2,True,0.0
2021-08-28 18:00:00,-35.0,34.23,2,2,True,0.0
2021-08-28 18:00:00,-11.0,33.714166666666664,2,2,True,0.0
2021-08-28 19:00:00,-35.0,34.23,2,2,True,0.0
2021-08-28 19:00:00,-11.0,33.721666666666664,2,2,True,1.5834600085440604
2021-08-28 20:00:00,-35.0,34.22416666666666,2,2,True,0.05013488427482358
